,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,H1,a8
0,01010200116,1,1,2,1,16,1,1,1
1,01010200116,1,1,2,1,16,1,3,1
2,01010200116,1,1,2,1,16,1,5,1
3,01010200116,1,1,2,1,16,1,6,1
4,01010200116,1,1,2,1,16,1,7,1
5,01010301101,1,1,3,11,1,2,1,1
6,01010301101,1,1,3,11,1,2,4,1
7,01010301101,1,1,3,11,1,2,5,1
8,01010301101,1,1,3,11,1,2,7,1
9,01010400404,1,1,4,4,4,2,4,1
10,01010400404,1,1,4,4,4,2,5,1
11,01010400404,1,1,4,4,4,2,6,1
12,01010400404,1,1,4,4,4,2,7,1
13,01010400804,1,1,4,8,4,2,5,1
14,01010400804,1,1,4,8,4,2,6,1
15,01010400804,1,1,4,8,4,2,7,1
16,01020600113,1,2,6,1,13,1,1,1
17,01020600113,1,2,6,1,13,1,3,1
18,01020600113,1,2,6,1,13,1,4,1
19,01020600113,1,2,6,1,13,1,5,1
20,01020600113,1,2,6,1,13,1,6,1
21,01020600113,1,2,6,1,13,1,7,1
22,01020801604,1,2,8,16,4,2,1,12
23,01020801604,1,2,8,16,4,2,5,12
24,01020901705,1,2,9,17,5,2,3,11
25,01020901705,1,2,9,17,5,2,5,11
26,01020901705,1,2,9,17,5,2,7,11
27,01021200418,1,2,12,4,18,1,1,1
28,01021200418,1,2,12,4,18,1,3,1
29,01021200418,1,2,12,4,18,1,4,1
30,01021200418,1,2,12,4,18,1,5,1
31,01021200418,1,2,12,4,18,1,6,1
32,01021200418,1,2,12,4,18,1,7,1
33,01030300103,1,3,3,1,3,1,1,1
34,01030300103,1,3,3,1,3,1,3,1
35,01030300103,1,3,3,1,3,1,4,1
36,01030300103,1,3,3,1,3,1,5,1
37,01030300103,1,3,3,1,3,1,6,1
38,01030300103,1,3,3,1,3,1,7,1
39,01030600403,1,3,6,4,3,2,1,10
40,01030600403,1,3,6,4,3,2,5,10
41,01030600403,1,3,6,4,3,2,7,10
42,01030800402,1,3,8,4,2,1,1,1
43,01030800402,1,3,8,4,2,1,3,1
44,01030800402,1,3,8,4,2,1,4,1
45,01030800402,1,3,8,4,2,1,5,1
46,01030800402,1,3,8,4,2,1,6,1
47,01030800402,1,3,8,4,2,1,7,1
48,01041100201,1,4,11,2,1,1,1,1
49,01041100201,1,4,11,2,1,1,3,1
50,01041100201,1,4,11,2,1,1,4,1
51,01041100201,1,4,11,2,1,1,5,1
52,01041100201,1,4,11,2,1,1,6,1
53,01041100201,1,4,11,2,1,1,7,1
54,01050100110,1,5,1,1,10,1,1,1
55,01050100110,1,5,1,1,10,1,3,1
56,01050100110,1,5,1,1,10,1,4,1
57,01050100110,1,5,1,1,10,1,5,1
58,01050100110,1,5,1,1,10,1,6,1
59,01050100110,1,5,1,1,10,1,7,1
60,01050101108,1,5,1,11,8,2,3,1
61,01050101108,1,5,1,11,8,2,5,1
62,01050101108,1,5,1,11,8,2,6,1
63,01060100317,1,6,1,3,17,1,1,1
64,01060100317,1,6,1,3,17,1,3,1
65,01060100317,1,6,1,3,17,1,4,1
66,01060100317,1,6,1,3,17,1,5,1
67,01060100317,1,6,1,3,17,1,6,1
68,01060100317,1,6,1,3,17,1,7,1
69,02070101804,2,7,1,18,4,2,7,1
70,02070101901,2,7,1,19,1,2,7,2
71,02070200101,2,7,2,1,1,1,1,1
72,02070200101,2,7,2,1,1,1,3,1
73,02070200101,2,7,2,1,1,1,4,1
74,02070200101,2,7,2,1,1,1,5,1
75,02070200101,2,7,2,1,1,1,6,1
76,02070200101,2,7,2,1,1,1,7,1
77,02070300104,2,7,3,1,4,1,1,1
78,02070300104,2,7,3,1,4,1,3,1
79,02070300104,2,7,3,1,4,1,4,1
80,02070300104,2,7,3,1,4,1,5,1
81,02070300104,2,7,3,1,4,1,6,1
82,02070300104,2,7,3,1,4,1,7,1
83,02070501103,2,7,5,11,3,2,3,3
84,02070501103,2,7,5,11,3,2,7,3
85,02070501302,2,7,5,13,2,2,7,4
86,02080300102,2,8,3,1,2,2,7,9
87,02080300404,2,8,3,4,4,2,1,8
88,02090100104,2,9,1,1,4,1,1,1
89,02090100104,2,9,1,1,4,1,3,1
90,02090100104,2,9,1,1,4,1,4,1
91,02090100104,2,9,1,1,4,1,5,1
92,02090100104,2,9,1,1,4,1,6,1
93,02090100104,2,9,1,1,4,1,7,1
94,02090200123,2,9,2,1,23,1,1,1
95,02090200123,2,9,2,1,23,1,3,1
96,02090200123,2,9,2,1,23,1,4,1
97,02090200123,2,9,2,1,23,1,5,1
98,02090200123,2,9,2,1,23,1,6,1
99,02090200123,2,9,2,1,23,1,7,1
100,02100100401,2,10,1,4,1,2,5,6
101,02100100401,2,10,1,4,1,2,7,6
102,02100100501,2,10,1,5,1,2,7,7
103,02100200904,2,10,2,9,4,2,7,5
104,03110300605,3,11,3,6,5,2,4,15
105,03110300605,3,11,3,6,5,2,6,15
106,03110300605,3,11,3,6,5,2,7,15
107,03110301501,3,11,3,15,1,2,4,14
108,03110301501,3,11,3,15,1,2,6,14
109,03110301501,3,11,3,15,1,2,7,14
110,03110800110,3,11,8,1,10,1,1,6
111,03110800701,3,11,8,7,1,2,4,16
112,03110800701,3,11,8,7,1,2,6,16
113,03110800701,3,11,8,7,1,2,7,16
114,03111700101,3,11,17,1,1,1,1,1
115,03111800604,3,11,18,6,4,1,1,1
116,03111802013,3,11,18,20,13,1,1,1
117,03111802013,3,11,18,20,13,1,1,5
118,03112101007,3,11,21,10,7,2,3,17
119,03112101007,3,11,21,10,7,2,4,17
120,03112101007,3,11,21,10,7,2,6,17
121,03112101007,3,11,21,10,7,2,7,17
122,03120102608,3,12,1,26,8,2,4,18
