,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
0,01010200116,1,1,2,1,16,1,1,3,3,1,1,3.0,2,1,2,,1,1.0
1,01010301101,1,1,3,11,1,2,1,1,3,2,2,,2,2,2,,2,
2,01010400404,1,1,4,4,4,2,1,1,3,2,2,,2,2,2,,2,
3,01010400804,1,1,4,8,4,2,1,1,3,2,2,,2,2,2,,1,1.0
4,01020600113,1,2,6,1,13,1,1,3,3,1,1,,2,1,2,,1,1.0
5,01020801604,1,2,8,16,4,2,12,2,4,2,1,,2,1,1,1.0,2,
6,01020901705,1,2,9,17,5,2,11,2,4,2,2,,2,2,2,,2,
7,01021200418,1,2,12,4,18,1,1,3,3,1,1,,2,1,2,,1,1.0
8,01030300103,1,3,3,1,3,1,1,3,3,1,1,,2,1,2,,1,1.0
9,01030600403,1,3,6,4,3,2,10,3,4,2,1,3.0,2,2,1,1.0,1,1.0
10,01030800402,1,3,8,4,2,1,1,3,3,1,1,3.0,2,1,2,,2,
11,01041100201,1,4,11,2,1,1,1,3,3,1,1,3.0,1,1,2,,1,1.0
12,01050100110,1,5,1,1,10,1,1,3,3,1,1,3.0,2,1,2,,2,
13,01050101108,1,5,1,11,8,2,1,1,3,2,2,,2,2,2,,1,1.0
14,01060100317,1,6,1,3,17,1,1,3,3,1,1,3.0,2,1,1,1.0,1,1.0
15,02070101804,2,7,1,18,4,2,1,1,4,2,2,,2,2,2,,2,
16,02070101901,2,7,1,19,1,2,2,1,4,2,2,,2,2,2,,2,
17,02070200101,2,7,2,1,1,1,1,1,3,1,1,3.0,2,1,2,,2,
18,02070300104,2,7,3,1,4,1,1,3,3,1,1,,2,1,2,,2,
19,02070501103,2,7,5,11,3,2,3,1,4,2,2,,2,1,2,,2,
20,02070501302,2,7,5,13,2,2,4,2,4,2,2,,2,2,2,,2,
21,02080300102,2,8,3,1,2,2,9,1,4,2,2,,2,2,2,,2,
22,02080300404,2,8,3,4,4,2,8,1,4,2,2,,2,1,2,,2,
23,02090100104,2,9,1,1,4,1,1,1,3,1,1,3.0,2,1,2,,2,
24,02090200123,2,9,2,1,23,1,1,3,16,1,1,3.0,2,1,2,,1,1.0
25,02100100401,2,10,1,4,1,2,6,1,4,2,2,,2,2,2,,2,
26,02100100501,2,10,1,5,1,2,7,2,4,2,2,,2,2,2,,2,
27,02100200904,2,10,2,9,4,2,5,1,4,2,2,,2,2,2,,2,
28,03110300605,3,11,3,6,5,2,15,2,4,2,2,,2,2,2,,2,
29,03110301501,3,11,3,15,1,2,14,2,4,2,2,,2,2,2,,2,
30,03110800110,3,11,8,1,10,1,6,1,4,1,1,3.0,2,1,2,,2,
31,03110800701,3,11,8,7,1,2,16,2,4,2,2,,2,2,2,,2,
32,03111700101,3,11,17,1,1,1,1,3,4,1,2,,2,2,2,,2,
33,03111800604,3,11,18,6,4,1,1,3,16,1,1,3.0,2,1,2,,2,
34,03111802013,3,11,18,20,13,1,1,3,16,1,1,3.0,2,1,2,,2,
35,03111802013,3,11,18,20,13,1,5,1,4,1,1,2.0,2,1,2,,2,
36,03112101007,3,11,21,10,7,2,17,2,4,2,2,,2,2,2,,2,
37,03120102608,3,12,1,26,8,2,18,2,4,2,2,,2,2,2,,2,
38,03120200303,3,12,2,3,3,1,1,3,16,1,1,3.0,2,1,2,,2,
39,03120300709,3,12,3,7,9,2,19,2,4,888,2,,2,2,2,,2,
40,03120302401,3,12,3,24,1,2,20,2,4,888,2,,2,2,2,,2,
41,03121000302,3,12,10,3,2,1,1,3,16,1,1,3.0,2,1,2,,2,
42,03121000302,3,12,10,3,2,1,2,3,3,1,1,2.0,1,1,2,,2,
43,03130200801,3,13,2,8,1,2,15,1,4,2,2,,2,1,2,,2,
44,03130202504,3,13,2,25,4,2,16,1,4,2,2,,2,2,2,,2,
45,03130401201,3,13,4,12,1,2,17,3,4,1,1,3.0,2,1,1,1.0,1,1.0
46,03130803001,3,13,8,30,1,2,20,1,4,2,2,,2,2,2,,1,7.0
47,03131000101,3,13,10,1,1,1,1,3,16,1,1,3.0,2,1,1,2.0,1,7.0
48,03140400104,3,14,4,1,4,1,1,3,3,1,1,3.0,2,1,1,1.0,1,1.0
49,03140901602,3,14,9,16,2,2,21,1,4,2,1,,2,2,1,1.0,1,7.0
50,03141000205,3,14,10,2,5,2,18,2,4,2,2,,2,1,2,,1,7.0
51,03141001902,3,14,10,19,2,2,19,1,4,2,2,,2,2,2,,1,7.0
52,03141202605,3,14,12,26,5,2,2,1,4,1,2,,2,2,2,,2,
53,03141700416,3,14,17,4,16,1,3,3,4,1,1,2.0,2,1,2,,2,
54,03150300101,3,15,3,1,1,2,2,1,4,2,1,1.0,2,2,2,,1,1.0
55,03150300905,3,15,3,9,5,2,5,1,4,2,2,,2,2,1,1.0,1,7.0
56,03150800103,3,15,8,1,3,1,1,1,4,1,1,3.0,2,1,2,,2,
57,03151900506,3,15,19,5,6,2,6,1,4,2,2,,2,2,2,,2,
58,03152000705,3,15,20,7,5,1,1,3,4,1,1,3.0,2,1,2,,2,
59,03160201902,3,16,2,19,2,2,3,2,6,2,2,,2,2,2,,2,
60,03160204005,3,16,2,40,5,2,2,2,6,2,2,,2,2,2,,2,
61,03160500103,3,16,5,1,3,1,1,1,4,1,1,3.0,2,1,2,,2,
62,03160600803,3,16,6,8,3,2,1,2,4,2,2,,2,2,2,,2,
63,03161500214,3,16,15,2,14,1,1,1,4,1,1,3.0,2,1,2,,2,
64,03170400206,3,17,4,2,6,2,7,2,6,2,2,,2,2,2,,2,
65,03170401804,3,17,4,18,4,2,5,2,6,2,2,,2,2,2,,2,
66,03170403702,3,17,4,37,2,2,6,2,6,888,2,,2,2,2,,2,
67,03170601005,3,17,6,10,5,2,4,2,6,2,2,,2,2,2,,2,
68,03180100102,3,18,1,1,2,1,1,3,16,1,1,2.0,2,1,2,,2,
69,03180201302,3,18,2,13,2,2,13,1,4,2,2,,2,2,2,,2,
70,03180302503,3,18,3,25,3,2,14,1,4,2,2,,2,2,2,,2,
71,03180700305,3,18,7,3,5,1,1,3,16,1,1,3.0,2,1,2,,2,
72,03190201401,3,19,2,14,1,2,9,2,6,2,2,,2,2,2,,2,
73,03190202501,3,19,2,25,1,2,8,2,6,2,2,,2,2,2,,2,
74,03190402004,3,19,4,20,4,2,10,2,6,2,2,,2,2,2,,2,
75,03200100113,3,20,1,1,13,2,1,1,4,2,2,,2,2,2,,2,
76,03200100807,3,20,1,8,7,2,7,1,4,2,2,,2,2,2,,2,
77,03200200209,3,20,2,2,9,1,4,3,4,1,2,,2,1,2,,2,
78,03210101214,3,21,1,12,14,1,1,3,4,1,2,,2,1,2,,2,
79,04220202602,4,22,2,26,2,2,1,2,4,2,1,3.0,2,2,1,2.0,2,
80,04220800303,4,22,8,3,3,2,1,2,4,2,2,,2,2,2,,2,
81,04230200302,4,23,2,3,2,2,1,2,4,2,2,,2,2,2,,2,
82,04231300304,4,23,13,3,4,2,1,2,4,2,2,,2,2,2,,2,
83,04231301905,4,23,13,19,5,2,1,2,4,2,2,,2,2,2,,2,
84,04240101704,4,24,1,17,4,2,1,1,4,2,2,,2,2,2,,2,
85,04240602203,4,24,6,22,3,2,1,1,4,2,2,,2,2,2,,2,
86,04242204001,4,24,22,40,1,2,1,1,4,2,2,,2,2,2,,2,
87,04250800404,4,25,8,4,4,2,4,2,555,2,2,,2,2,2,,2,
88,04260801102,4,26,8,11,2,2,1,2,4,2,2,,2,2,2,,2,
89,04260803103,4,26,8,31,3,2,1,2,4,2,2,,2,2,2,,2,
90,04261701902,4,26,17,19,2,2,1,2,4,2,2,,2,2,2,,2,
91,04271800107,4,27,18,1,7,1,2,1,4,1,1,,2,1,2,,2,
92,04280201505,4,28,2,15,5,2,5,1,4,2,2,,2,2,2,,1,2.0
93,04280203203,4,28,2,32,3,2,4,1,2,888,2,,2,2,2,,2,
94,04280900226,4,28,9,2,26,1,4,2,3,1,1,,2,1,2,,2,
95,04290100110,4,29,1,1,10,1,1,1,3,1,1,,2,2,2,,2,
96,04290500106,4,29,5,1,6,1,6,1,4,1,1,,2,1,2,,2,
97,04291500905,4,29,15,9,5,2,5,2,4,2,2,,2,2,2,,2,
98,04291501302,4,29,15,13,2,2,2,1,4,2,2,,2,2,2,,2,
99,04291501302,4,29,15,13,2,2,3,2,3,555,2,,2,2,2,,2,
100,04291801901,4,29,18,19,1,2,1,1,4,2,2,,2,2,2,,2,
101,04292500402,4,29,25,4,2,1,4,3,16,1,1,,2,1,2,,2,
102,04300400106,4,30,4,1,6,1,2,3,3,1,2,,2,1,2,,2,
103,04300800105,4,30,8,1,5,2,5,1,4,2,2,,2,2,2,,2,
104,04301301004,4,30,13,10,4,2,4,1,3,2,2,,2,2,2,,2,
105,04311103311,4,31,11,33,11,2,10,1,10,2,2,,1,1,1,1.0,1,1.0
106,04311200105,4,31,12,1,5,1,10,1,4,1,1,3.0,2,1,2,,1,2.0
107,04320400608,4,32,4,6,8,2,3,1,4,888,2,,2,2,2,,2,
108,04320400608,4,32,4,6,8,2,8,1,4,888,2,,2,2,2,,2,
109,04320501610,4,32,5,16,10,2,10,2,4,555,2,,2,2,2,,2,
110,04320501610,4,32,5,16,10,2,11,2,4,555,2,,2,2,2,,2,
111,04320600302,4,32,6,3,2,2,2,2,1,555,2,,2,2,2,,2,
112,04321200208,4,32,12,2,8,1,2,1,4,1,1,,1,1,2,,2,
113,04321600405,4,32,16,4,5,2,5,2,4,888,2,,2,2,2,,2,
114,04321801602,4,32,18,16,2,2,3,2,2,888,2,,2,2,2,,1,555.0
115,04330600803,4,33,6,8,3,2,6,1,4,2,2,,2,2,2,,2,
116,04330801809,4,33,8,18,9,2,7,1,4,2,2,,2,2,2,,2,
117,04331100203,4,33,11,2,3,2,3,2,4,888,2,,2,2,2,,2,
118,04331301403,4,33,13,14,3,2,5,1,4,2,2,,2,2,2,,2,
